"in bold, sample names (""DNA_CODE"") that have been changed. Will need to highlight these and update kev on the DB.",,,,,,,,,
,,,,,,,,,
Sample no.,Plate,Well,DNA_CODE,Locality,LAT_SOUTH,LONG_EAST,confirmed_species,Site,Collector
265,3,A10,AU15,Aurora,-32.693673,18.481209,P. scabrum,1007,C_Chong
266,3,B10,AU16,Aurora,-32.693625,18.481159,P. scabrum,1007,C_Chong
267,3,C10,AU17,Aurora,-32.693608,18.481123,P. scabrum,1007,C_Chong
268,3,D10,AU18,Aurora,-32.693608,18.481121,P. scabrum,1007,C_Chong
269,3,E10,AU19,Aurora,-32.693628,18.481163,P. scabrum,1007,C_Chong
270,3,F10,AU22,Aurora,-32.693627,18.481129,P. scabrum,1007,C_Chong
271,3,G10,AU23,Aurora,-32.693635,18.48112,P. scabrum,1007,C_Chong
272,3,H10,AU28,Aurora,-32.693689,18.481063,P. scabrum,1007,C_Chong
273,3,A11,AU29,Aurora,-32.69371,18.481081,P. scabrum,1007,C_Chong
274,3,B11,AU39,Aurora,-32.693536,18.481277,P. scabrum,1007,C_Chong
275,3,C11,AU8,Aurora,-32.693546,18.481248,P. scabrum,1007,C_Chong
276,3,D11,AU20,Aurora,-32.693612,18.481114,P. scabrum,1007,C_Chong
277,3,E11,AU1,Aurora,-32.69354,18.481384,P. scabrum,1007,C_Chong
278,3,F11,AU10,Aurora,-32.693553,18.481218,P. scabrum,1007,C_Chong
279,3,G11,AU11,Aurora,-32.693557,18.481198,P. scabrum,1007,C_Chong
280,3,H11,AU12,Aurora,-32.693607,18.481209,P. scabrum,1007,C_Chong
281,3,A12,AU13,Aurora,-32.693582,18.48117,P. scabrum,1007,C_Chong
282,3,B12,AU14,Aurora,-32.69356,18.481133,P. scabrum,1007,C_Chong
283,3,C12,AU2,Aurora,-32.693539,18.481306,P. scabrum,1007,C_Chong
284,3,D12,AU5,Aurora,-32.69355,18.481258,P. scabrum,1007,C_Chong
285,3,E12,AU21,Aurora,-32.693634,18.481158,P. scabrum,1007,C_Chong
286,3,F12,AU24_A,Aurora,-32.693667,18.481151,P. scabrum,1007,C_Chong
287,3,G12,AU25,Aurora,-32.693638,18.481111,P. scabrum,1007,C_Chong
288,3,H12,AU24_B,Aurora,-32.693653,18.481153,P. scabrum,1007,C_Chong
289,4,A01,AU26,Aurora,-32.693752,18.481036,P. scabrum,1007,C_Chong
290,4,B01,AU27,Aurora,-32.693706,18.480996,P. scabrum,1007,C_Chong
291,4,C01,AU3,Aurora,-32.693525,18.481307,P. scabrum,1007,C_Chong
292,4,D01,AU30,Aurora,-32.693745,18.481113,P. scabrum,1007,C_Chong
293,4,E01,AU31,Aurora,-32.693717,18.481,P. scabrum,1007,C_Chong
294,4,F01,AU32,Aurora,-32.69375,18.481012,P. scabrum,1007,C_Chong
295,4,G01,AU33,Aurora,-32.693742,18.481087,P. scabrum,1007,C_Chong
296,4,H01,AU34,Aurora,-32.693741,18.481138,P. scabrum,1007,C_Chong
297,4,A02,AU35,Aurora,-32.693727,18.481148,P. scabrum,1007,C_Chong
298,4,B02,AU36,Aurora,-32.693689,18.48119,P. scabrum,1007,C_Chong
299,4,C02,AU37,Aurora,-32.693658,18.48124,P. scabrum,1007,C_Chong
300,4,D02,AU38,Aurora,-32.69362,18.481248,P. scabrum,1007,C_Chong
301,4,E02,AU4,Aurora,-32.693529,18.481299,P. scabrum,1007,C_Chong
302,4,F02,AU40,Aurora,-32.69371,18.481081,P. scabrum,1007,C_Chong
303,4,G02,AU6,Aurora,-32.69355,18.481287,P. scabrum,1007,C_Chong
304,4,H02,AU7,Aurora,-32.693556,18.481243,P. scabrum,1007,C_Chong
305,4,A03,AU9,Aurora,-32.693556,18.481223,P. scabrum,1007,C_Chong
306,4,B03,FG1,"Fairy Glen, Worcestor",-33.561762,19.435469,P. scabrum,1008,C_Chong
307,4,C03,FG2,"Fairy Glen, Worcestor",-33.561771,19.435493,P. scabrum,1008,C_Chong
308,4,D03,fg2,"Fairy Glen, Worcestor",-33.561801,19.434981,P. scabrum,1008,C_Chong
309,4,E03,FG3,"Fairy Glen, Worcestor",-33.561851,19.434921,P. scabrum,1008,C_Chong
310,4,F03,fg4,"Fairy Glen, Worcestor",-33.56189,19.434912,P. scabrum,1008,C_Chong
311,4,G03,FG4,"Fairy Glen, Worcestor",-33.561893,19.434905,P. scabrum,1008,C_Chong
312,4,H03,FG7,"Fairy Glen, Worcestor",-33.563592,19.434916,P. scabrum,1008,C_Chong
313,4,A04,FG8,"Fairy Glen, Worcestor",-33.563821,19.435017,P. scabrum,1008,C_Chong
314,4,B04,FG9,"Fairy Glen, Worcestor",-33.563855,19.435011,P. scabrum,1008,C_Chong
315,4,C04,FG11,"Fairy Glen, Worcestor",-33.564353,19.433673,P. scabrum,1008,C_Chong
316,4,D04,FG10,"Fairy Glen, Worcestor",-33.564356,19.433684,P. scabrum,1008,C_Chong
317,4,E04,fg11,"Fairy Glen, Worcestor",-33.564354,19.433622,P. scabrum,1008,C_Chong
318,4,F04,fg12,"Fairy Glen, Worcestor",-33.56435,19.43355,P. scabrum,1008,C_Chong
319,4,G04,FG13,"Fairy Glen, Worcestor",-33.564286,19.432852,P. scabrum,1008,C_Chong
320,4,H04,fg13,"Fairy Glen, Worcestor",-33.564255,19.432862,P. scabrum,1008,C_Chong
321,4,A05,FG14,"Fairy Glen, Worcestor",-33.564415,19.432414,P. scabrum,1008,C_Chong
322,4,B05,FG18,"Fairy Glen, Worcestor",-33.564461,19.432322,P. scabrum,1008,C_Chong
323,4,C05,FG17,"Fairy Glen, Worcestor",-33.564943,19.431777,P. scabrum,1008,C_Chong
324,4,D05,FG16,"Fairy Glen, Worcestor",-33.56485,19.431865,P. scabrum,1008,C_Chong
325,4,E05,FG15,"Fairy Glen, Worcestor",-33.564461,19.432322,P. scabrum,1008,C_Chong
326,4,F05,FG19,"Fairy Glen, Worcestor",-33.56513,19.431463,P. scabrum,1008,C_Chong
327,4,G05,FG20,"Fairy Glen, Worcestor",-33.565459,19.431311,P. scabrum,1008,C_Chong
328,4,H05,FG21,"Fairy Glen, Worcestor",-33.565481,19.431319,P. scabrum,1008,C_Chong
329,4,A06,FG22,"Fairy Glen, Worcestor",-33.565629,19.431271,P. scabrum,1008,C_Chong
330,4,B06,FG23,"Fairy Glen, Worcestor",-33.565712,19.431181,P. scabrum,1008,C_Chong
331,4,C06,FG24,"Fairy Glen, Worcestor",-33.565707,19.431146,P. scabrum,1008,C_Chong
332,4,D06,FG25,"Fairy Glen, Worcestor",-33.565792,19.431152,P. scabrum,1008,C_Chong
333,4,E06,FG26,"Fairy Glen, Worcestor",-33.566137,19.43107,P. scabrum,1008,C_Chong
334,4,F06,FG28,"Fairy Glen, Worcestor",-33.566905,19.431168,P. scabrum,1008,C_Chong
335,4,G06,FG29,"Fairy Glen, Worcestor",-33.566957,19.431168,P. scabrum,1008,C_Chong
336,4,H06,fg16,"Fairy Glen, Worcestor",-33.566881,19.431124,P. scabrum,1008,C_Chong
337,4,A07,FG30,"Fairy Glen, Worcestor",-33.567222,19.43114,P. scabrum,1008,C_Chong
338,4,B07,FG31,"Fairy Glen, Worcestor",-33.568878,19.431937,P. scabrum,1008,C_Chong
339,4,C07,FG32,"Fairy Glen, Worcestor",-33.567817,19.431255,P. scabrum,1008,C_Chong
340,4,D07,FG12,"Fairy Glen, Worcestor",-33.564286,19.433093,P. scabrum,1008,C_Chong
341,4,E07,FG5,"Fairy Glen, Worcestor",-33.56352,19.435073,P. scabrum,1008,C_Chong
342,4,F07,FG6,"Fairy Glen, Worcestor",-33.563718,19.435087,P. scabrum,1008,C_Chong
343,4,G07,FG27,"Fairy Glen, Worcestor",-33.566156,19.431099,P. scabrum,1008,C_Chong
344,4,H07,fg1,"Fairy Glen, Worcestor",-33.561787,19.435458,P. scabrum,1008,C_Chong
345,4,A08,fg3,"Fairy Glen, Worcestor",-33.561843,19.434921,P. scabrum,1008,C_Chong
346,4,B08,fg5,"Fairy Glen, Worcestor",-33.561884,19.43494,P. scabrum,1008,C_Chong
347,4,C08,fg6,"Fairy Glen, Worcestor",-33.561874,19.434955,P. scabrum,1008,C_Chong
348,4,D08,fg7,"Fairy Glen, Worcestor",-33.562833,19.434565,P. scabrum,1008,C_Chong
349,4,E08,fg8,"Fairy Glen, Worcestor",-33.563976,19.434982,P. scabrum,1008,C_Chong
350,4,F08,fg9,"Fairy Glen, Worcestor",-33.564356,19.433684,P. scabrum,1008,C_Chong
351,4,G08,fg10,"Fairy Glen, Worcestor",-33.564346,19.433651,P. scabrum,1008,C_Chong
352,4,H08,fg14,"Fairy Glen, Worcestor",-33.564868,19.431837,P. scabrum,1008,C_Chong
353,4,A09,MEP1,Meiringspoort,-33.400396,22.559847,P. scabrum,1009,C_Chong
354,4,B09,ME1,Meiringspoort,-33.400407,22.559843,P. scabrum,1009,C_Chong
355,4,C09,MEP2,Meiringspoort,-33.400397,22.559827,P. scabrum,1009,C_Chong
356,4,D09,ME6,Meiringspoort,-33.400022,22.559554,P. scabrum,1009,C_Chong
357,4,E09,ME2,Meiringspoort,-33.399921,22.559476,P. scabrum,1009,C_Chong
358,4,F09,ME3,Meiringspoort,-33.399827,22.559392,P. scabrum,1009,C_Chong
359,4,G09,MEP3,Meiringspoort,-33.399816,22.559357,P. scabrum,1009,C_Chong
360,4,H09,ME5,Meiringspoort,-33.399817,22.559359,P. scabrum,1009,C_Chong
361,4,A10,MEP4,Meiringspoort,-33.399777,22.559381,P. scabrum,1009,C_Chong
362,4,B10,MEP5,Meiringspoort,-33.399754,22.55939,P. scabrum,1009,C_Chong
363,4,C10,ME12,Meiringspoort,-33.399755,22.559332,P. scabrum,1009,C_Chong
364,4,D10,ME11,Meiringspoort,-33.399755,22.55933,P. scabrum,1009,C_Chong
365,4,E10,ME7,Meiringspoort,-33.39972,22.559289,P. scabrum,1009,C_Chong
366,4,F10,ME8,Meiringspoort,-33.399715,22.559269,P. scabrum,1009,C_Chong
367,4,G10,ME9,Meiringspoort,-33.3997,22.559276,P. scabrum,1009,C_Chong
368,4,H10,ME13,Meiringspoort,-33.399574,22.559201,P. scabrum,1009,C_Chong
369,4,A11,ME14,Meiringspoort,-33.399589,22.559177,P. scabrum,1009,C_Chong
370,4,B11,MEP6,Meiringspoort,-33.399545,22.559188,P. scabrum,1009,C_Chong
371,4,C11,ME10,Meiringspoort,-33.399485,22.559101,P. scabrum,1009,C_Chong
372,4,D11,ME16,Meiringspoort,-33.399495,22.559117,P. scabrum,1009,C_Chong
373,4,E11,MEP7,Meiringspoort,-33.39948,22.559135,P. scabrum,1009,C_Chong
374,4,F11,ME15,Meiringspoort,-33.398731,22.558528,P. scabrum,1009,C_Chong
375,4,G11,MEP8,Meiringspoort,-33.398735,22.55854,P. scabrum,1009,C_Chong
376,4,H11,ME4,Meiringspoort,-33.399803,22.559366,P. scabrum,1009,C_Chong
377,4,A12,ME17,Meiringspoort,-33.399506,22.559075,P. scabrum,1009,C_Chong
378,4,B12,ME18,Meiringspoort,-33.44545,22.56342,P. scabrum,1009,C_Chong
379,4,C12,SPPB,Meiringspoort,-33.40187,22.56072,P. scabrum_int,1009,C_Chong
380,4,D12,SPPB,Meiringspoort,-33.40156,22.56078,P. scabrum_int,1009,C_Chong
381,4,E12,SPPA,Meiringspoort,-33.40104,22.56021,P. hispidum,1009,C_Chong
382,4,F12,SPPA,Meiringspoort,-33.40047,22.55994,P. hispidum,1009,C_Chong
383,4,G12,SPPC,Meiringspoort,-33.44547,22.56352,P. ternatum_unkn,1009,C_Chong
384,4,H12,SPPC,Meiringspoort,-33.44547,22.56349,P. ternatum_unkn,1009,C_Chong
385,5,A01,M1_UDP,Uniondale Pass,-33.674718,23.145064,P. scabrum,1010,C_Chong
386,5,B01,M10_UDP,Uniondale Pass,-33.668859,23.138204,P. scabrum,1010,C_Chong
387,5,C01,M11_UDP,Uniondale Pass,-33.66885,23.13819,P. scabrum,1010,C_Chong
388,5,D01,M12_UDP,Uniondale Pass,-33.668853,23.138158,P. scabrum,1010,C_Chong
389,5,E01,M13_UDP,Uniondale Pass,-33.668824,23.137998,P. scabrum,1010,C_Chong
390,5,F01,M14_UDP,Uniondale Pass,-33.668832,23.137978,P. scabrum,1010,C_Chong
391,5,G01,M15_UDP,Uniondale Pass,-33.668847,23.137951,P. scabrum,1010,C_Chong
392,5,H01,M16_UDP,Uniondale Pass,-33.668855,23.137714,P. scabrum,1010,C_Chong
393,5,A02,M2_UDP,Uniondale Pass,-33.674762,23.145109,P. scabrum,1010,C_Chong
394,5,B02,M3_UDP,Uniondale Pass,-33.674754,23.1451,P. scabrum,1010,C_Chong
395,5,C02,M4_UDP,Uniondale Pass,-33.674526,23.144732,P. scabrum,1010,C_Chong
396,5,D02,M4A_UDP,Uniondale Pass,-33.674103,23.144389,P. scabrum,1010,C_Chong
397,5,E02,M6_UDP,Uniondale Pass,-33.668882,23.138358,P. scabrum,1010,C_Chong
398,5,F02,M7_UDP,Uniondale Pass,-33.668878,23.138363,P. scabrum,1010,C_Chong
399,5,G02,M8_UDP,Uniondale Pass,-33.668873,23.138355,P. scabrum,1010,C_Chong
400,5,H02,M9_UDP,Uniondale Pass,-33.66884,23.138229,P. scabrum,1010,C_Chong
401,5,A03,UD1,Uniondale Pass,-33.689342,23.150837,P. scabrum,1010,C_Chong
402,5,B03,UD10,Uniondale Pass,-33.668933,23.138723,P. scabrum,1010,C_Chong
403,5,C03,UP10_A,Uniondale Pass,-33.689341,23.150847,P. scabrum,1010,C_Chong
404,5,D03,UD11,Uniondale Pass,-33.668936,23.138717,P. scabrum,1010,C_Chong
405,5,E03,UD12,Uniondale Pass,-33.668929,23.138693,P. scabrum,1010,C_Chong
406,5,F03,UD13,Uniondale Pass,-33.668921,23.138649,P. scabrum,1010,C_Chong
407,5,G03,UD14,Uniondale Pass,-33.668906,23.138615,P. scabrum,1010,C_Chong
408,5,H03,UD2,Uniondale Pass,-33.686858,23.149665,P. scabrum,1010,C_Chong
409,5,A04,UD4,Uniondale Pass,-33.674713,23.145066,P. scabrum,1010,C_Chong
410,5,B04,UD5,Uniondale Pass,-33.674246,23.144497,P. scabrum,1010,C_Chong
411,5,C04,UD6,Uniondale Pass,-33.674226,23.144484,P. scabrum,1010,C_Chong
412,5,D04,UD7,Uniondale Pass,-33.674109,23.144425,P. scabrum,1010,C_Chong
413,5,E04,UD8,Uniondale Pass,-33.668927,23.138724,P. scabrum,1010,C_Chong
414,5,F04,UP22,Uniondale Pass,-33.676982,23.14687,P. scabrum,1010,C_Chong
415,5,G04,UP33,Uniondale Pass,-33.677493,23.147551,P. scabrum,1010,C_Chong
416,5,H04,UP38,Uniondale Pass,-33.66923,23.139731,P. scabrum,1010,C_Chong
417,5,A05,UP39,Uniondale Pass,-33.669225,23.139596,P. scabrum,1010,C_Chong
418,5,B05,UP40,Uniondale Pass,-33.669197,23.139629,P. scabrum,1010,C_Chong
419,5,C05,UP42,Uniondale Pass,-33.669194,23.13961,P. scabrum,1010,C_Chong
420,5,D05,UP43,Uniondale Pass,-33.669179,23.139595,P. scabrum,1010,C_Chong
421,5,E05,UP45,Uniondale Pass,-33.668929,23.138693,P. scabrum,1010,C_Chong
422,5,F05,UD3,Uniondale Pass,-33.675556,23.146234,P. scabrum,1010,C_Chong
423,5,G05,UP1,Uniondale Pass,-33.693198,23.152244,P. scabrum,1010,C_Chong
424,5,H05,UP10,Uniondale Pass,-33.691604,23.151179,P. scabrum,1010,C_Chong
425,5,A06,UP11,Uniondale Pass,-33.687624,23.150078,P. scabrum,1010,C_Chong
426,5,B06,UP12,Uniondale Pass,-33.68697,23.14978,P. scabrum,1010,C_Chong
427,5,C06,UP13,Uniondale Pass,-33.68696,23.149773,P. scabrum,1010,C_Chong
428,5,D06,UP14,Uniondale Pass,-33.68696,23.149771,P. scabrum,1010,C_Chong
429,5,E06,UP15,Uniondale Pass,-33.686951,23.149768,P. scabrum,1010,C_Chong
430,5,F06,UP16,Uniondale Pass,-33.686914,23.149728,P. scabrum,1010,C_Chong
431,5,G06,UP17,Uniondale Pass,-33.68689,23.149727,P. scabrum,1010,C_Chong
432,5,H06,UP18,Uniondale Pass,-33.686867,23.149716,P. scabrum,1010,C_Chong
433,5,A07,UP19,Uniondale Pass,-33.686671,23.149528,P. scabrum,1010,C_Chong
434,5,B07,UP2,Uniondale Pass,-33.693112,23.152163,P. scabrum,1010,C_Chong
435,5,C07,UP20,Uniondale Pass,-33.676954,23.146846,P. scabrum,1010,C_Chong
436,5,D07,UP21,Uniondale Pass,-33.676959,23.14685,P. scabrum,1010,C_Chong
437,5,E07,UP23,Uniondale Pass,-33.677009,23.146886,P. scabrum,1010,C_Chong
438,5,F07,UP24,Uniondale Pass,-33.677018,23.146908,P. scabrum,1010,C_Chong
439,5,G07,UP25,Uniondale Pass,-33.677044,23.146913,P. scabrum,1010,C_Chong
440,5,H07,UP26,Uniondale Pass,-33.677077,23.146929,P. scabrum,1010,C_Chong
441,5,A08,UP27,Uniondale Pass,-33.677138,23.146991,P. scabrum,1010,C_Chong
442,5,B08,UP28,Uniondale Pass,-33.677231,23.147032,P. scabrum,1010,C_Chong
443,5,C08,UP29,Uniondale Pass,-33.677313,23.147132,P. scabrum,1010,C_Chong
444,5,D08,UP3,Uniondale Pass,-33.691898,23.151213,P. scabrum,1010,C_Chong
445,5,E08,UP30,Uniondale Pass,-33.677318,23.147191,P. scabrum,1010,C_Chong
446,5,F08,UP31,Uniondale Pass,-33.677405,23.147352,P. scabrum,1010,C_Chong
447,5,G08,UP32,Uniondale Pass,-33.677436,23.147443,P. scabrum,1010,C_Chong
448,5,H08,UP34,Uniondale Pass,-33.675096,23.145599,P. scabrum,1010,C_Chong
449,5,A09,UP35,Uniondale Pass,-33.674468,23.144694,P. scabrum,1010,C_Chong
450,5,B09,UP36,Uniondale Pass,-33.674245,23.144497,P. scabrum,1010,C_Chong
451,5,C09,UP4,Uniondale Pass,-33.691886,23.151214,P. scabrum,1010,C_Chong
452,5,D09,UP41,Uniondale Pass,-33.669195,23.139624,P. scabrum,1010,C_Chong
453,5,E09,UP44,Uniondale Pass,-33.669159,23.13957,P. scabrum,1010,C_Chong
454,5,F09,UP46,Uniondale Pass,-33.668923,23.138633,P. scabrum,1010,C_Chong
455,5,G09,UP47,Uniondale Pass,-33.668835,23.13861,P. scabrum,1010,C_Chong
456,5,H09,UP5,Uniondale Pass,-33.691883,23.15121,P. scabrum,1010,C_Chong
457,5,A10,UP6,Uniondale Pass,-33.69188,23.151212,P. scabrum,1010,C_Chong
458,5,B10,UP7,Uniondale Pass,-33.691723,23.151197,P. scabrum,1010,C_Chong
459,5,C10,UP8,Uniondale Pass,-33.691641,23.151169,P. scabrum,1010,C_Chong
460,5,D10,UP9,Uniondale Pass,-33.691611,23.151172,P. scabrum,1010,C_Chong
461,5,E10,SPPA_1,Uniondale Pass,-33.68922,23.15087,P. cordifolium,1010,C_Chong
462,5,F10,SPPA_2,Uniondale Pass,-33.68294,23.15087,P. cordifolium,1010,C_Chong
463,5,G10,SPPB_1,Uniondale Pass,-33.68914,23.15084,P. zonale,1010,C_Chong
464,5,H10,SPPB_2,Uniondale Pass,-33.69008,23.15042,P. zonale,1010,C_Chong
465,5,A11,SPPC_1,Uniondale Pass,-33.68841,23.15051,P. grossularioides,1010,C_Chong
466,5,B11,SPPC_2,Uniondale Pass,-33.68631,23.14929,P. grossularioides,1010,C_Chong
467,5,C11,SPPD_1,Uniondale Pass,-33.68628,23.14928,P. caucalifolium,1010,C_Chong
468,5,D11,SPPD_2,Uniondale Pass,-33.68631,23.14921,P. caucalifolium,1010,C_Chong
469,5,E11,SPPE_1,Uniondale Pass,-33.69038,23.15069,P. pseudoglutinosum,1010,C_Chong
470,5,F11,SPPE_2,Uniondale Pass,-33.6904,23.15076,P. pseudoglutinosum,1010,C_Chong
471,5,G11,SPPF_1,Uniondale Pass,-33.68693,23.14976,P. myrrh_unkn,1010,C_Chong
472,5,H11,PALCH_1,Uniondale Pass,-33.68645,23.14937,P. alchemillioides_unkn,1010,C_Chong
473,5,A12,PALCH_2,Uniondale Pass,-33.68708,23.14981,P. alchemillioides_unkn,1010,C_Chong
474,5,B12,PALCH_3,Uniondale Pass,-33.68594,23.14913,P. alchemillioides_unkn,1010,C_Chong
475,5,C12,160_A_1,"Middleberg Pass, lower Pass",-32.61885,19.12064,P. scabrum,160_A,C_Chong
476,5,D12,160_A_2,"Middleberg Pass, lower Pass",-32.61885,19.12064,P. scabrum,160_A,C_Chong
477,5,E12,160_A_3,"Middleberg Pass, lower Pass",-32.61885,19.12064,P. scabrum,160_A,C_Chong
478,5,F12,160_A_4,"Middleberg Pass, lower Pass",-32.61885,19.12064,P. scabrum,160_A,C_Chong
479,5,G12,160_A_5,"Middleberg Pass, lower Pass",-32.61885,19.12064,P. scabrum,160_A,C_Chong
480,5,H12,160_A_6,"Middleberg Pass, lower Pass",-32.61885,19.12064,P. scabrum,160_A,C_Chong
481,6,A01,1605,Middleberg Pass,-32.6258,19.13688,P. scabrum,160,C_Chong
482,6,B01,1606,Middleberg Pass,-32.62586,19.13681,P. scabrum,160,C_Chong
483,6,C01,1607,Middleberg Pass,-32.62581,19.13676,P. scabrum,160,C_Chong
484,6,D01,1608,Middleberg Pass,-32.62573,19.13684,P. scabrum,160,C_Chong
485,6,E01,1609,Middleberg Pass,-32.62554,19.1368,P. scabrum,160,C_Chong
486,6,F01,1610,Middleberg Pass,-32.62535,19.13683,P. scabrum,160,C_Chong
487,6,G01,1611,Middleberg Pass,-32.62536,19.13686,P. scabrum,160,C_Chong
488,6,H01,1612,Middleberg Pass,-32.62539,19.13692,P. scabrum,160,C_Chong
489,6,A02,M1,"Middelberg Pass, Western Cape",-32.625691,19.135967,P. scabrum,160,C_Chong
490,6,B02,M2,"Middelberg Pass, Western Cape",-32.625683,19.135963,P. scabrum,160,C_Chong
491,6,C02,M3,"Middelberg Pass, Western Cape",-32.625679,19.135946,P. scabrum,160,C_Chong
492,6,D02,M4,"Middelberg Pass, Western Cape",-32.625689,19.135948,P. scabrum,160,C_Chong
493,6,E02,M5,"Middelberg Pass, Western Cape",-32.625683,19.135923,P. scabrum,160,C_Chong
494,6,F02,M6,"Middelberg Pass, Western Cape",-32.625679,19.135922,P. scabrum,160,C_Chong
495,6,G02,M7,"Middelberg Pass, Western Cape",-32.625696,19.135905,P. scabrum,160,C_Chong
496,6,H02,M8,"Middelberg Pass, Western Cape",-32.625721,19.135911,P. scabrum,160,C_Chong
497,6,A03,M9,"Middelberg Pass, Western Cape",-32.625725,19.135907,P. scabrum,160,C_Chong
498,6,B03,M10,"Middelberg Pass, Western Cape",-32.625712,19.135877,P. scabrum,160,C_Chong
499,6,C03,M11,"Middelberg Pass, Western Cape",-32.625691,19.135889,P. scabrum,160,C_Chong
500,6,D03,M12,"Middelberg Pass, Western Cape",-32.625694,19.135873,P. scabrum,160,C_Chong
501,6,E03,M13,"Middelberg Pass, Western Cape",-32.625634,19.135861,P. scabrum,160,C_Chong
502,6,F03,M14,"Middelberg Pass, Western Cape",-32.625629,19.135882,P. scabrum,160,C_Chong
503,6,G03,M15,"Middelberg Pass, Western Cape",-32.62558,19.135827,P. scabrum,160,C_Chong
504,6,H03,M16,"Middelberg Pass, Western Cape",-32.625546,19.13581,P. scabrum,160,C_Chong
505,6,A04,M17,"Middelberg Pass, Western Cape",-32.625538,19.135813,P. scabrum,160,C_Chong
506,6,B04,M18,"Middelberg Pass, Western Cape",-32.625561,19.135996,P. scabrum,160,C_Chong
507,6,C04,M19,"Middelberg Pass, Western Cape",-32.625447,19.136412,P. scabrum,160,C_Chong
508,6,D04,M20,"Middelberg Pass, Western Cape",-32.625439,19.136315,P. scabrum,160,C_Chong
509,6,E04,M21,"Middelberg Pass, Western Cape",-32.625459,19.136373,P. scabrum,160,C_Chong
510,6,F04,M22,"Middelberg Pass, Western Cape",-32.625447,19.136412,P. scabrum,160,C_Chong
511,6,G04,M23,"Middelberg Pass, Western Cape",-32.625464,19.136427,P. scabrum,160,C_Chong
512,6,H04,M24,"Middelberg Pass, Western Cape",-32.625463,19.136421,P. scabrum,160,C_Chong
513,6,A05,M25,"Middelberg Pass, Western Cape",-32.625459,19.136453,P. scabrum,160,C_Chong
514,6,B05,M26,"Middelberg Pass, Western Cape",-32.625025,19.136156,P. scabrum,160,C_Chong
515,6,C05,M27,"Middelberg Pass, Western Cape",-32.624947,19.13615,P. scabrum,160,C_Chong
516,6,D05,M28,"Middelberg Pass, Western Cape",-32.624741,19.136149,P. scabrum,160,C_Chong
517,6,E05,M29,"Middelberg Pass, Western Cape",-32.62471,19.136015,P. scabrum,160,C_Chong
518,6,F05,M30,"Middelberg Pass, Western Cape",-32.624705,19.136031,P. scabrum,160,C_Chong
519,6,G05,M31,"Middelberg Pass, Western Cape",-32.625179,19.136996,P. scabrum,160,C_Chong
520,6,H05,M32_A,"Middelberg Pass, Western Cape",-32.625241,19.137014,P. scabrum,160,C_Chong
521,6,A06,M32_B,"Middelberg Pass, Western Cape",-32.625205,19.136943,P. scabrum,160,C_Chong
522,6,B06,M33,"Middelberg Pass, Western Cape",-32.625182,19.136915,P. scabrum,160,C_Chong
523,6,C06,M34,"Middelberg Pass, Western Cape",-32.625157,19.136929,P. scabrum,160,C_Chong
524,6,D06,M35,"Middelberg Pass, Western Cape",-32.625138,19.136958,P. scabrum,160,C_Chong
525,6,E06,MG1,"Middelberg Pass, Western Cape",-32.623809,19.135461,P. scabrum,160,C_Chong
526,6,F06,MG2,"Middelberg Pass, Western Cape",-32.623879,19.135485,P. scabrum,160,C_Chong
527,6,G06,MG4,"Middelberg Pass, Western Cape",-32.623918,19.135506,P. scabrum,160,C_Chong
528,6,H06,MG5,"Middelberg Pass, Western Cape",-32.623927,19.135513,P. scabrum,160,C_Chong
529,6,A07,int1,"Middelberg Pass, Western Cape",-32.62494,19.13618,P. scabrum_unkn,160,C_Chong
530,6,B07,int2,"Middelberg Pass, Western Cape",-32.62534,19.13655,P. scabrum_unkn,160,C_Chong
531,6,C07,int3,"Middelberg Pass, Western Cape",-32.62463,19.13595,P. scabrum_unkn,160,C_Chong
532,6,D07,MG3,"Middelberg Pass, Western Cape",-32.623894,19.135459,P. scabrum_unkn,160,C_Chong
533,6,E07,MG6,"Middelberg Pass, Western Cape",-32.624034,19.135549,P. scabrum_unkn,160,C_Chong
534,6,F07,MG16,"Middelberg Pass, Western Cape",-32.624279,19.135682,P. scabrum_unkn,160,C_Chong
535,6,G07,MG17,"Middelberg Pass, Western Cape",-32.624285,19.135715,P. scabrum_unkn,160,C_Chong
536,6,H07,MG18,"Middelberg Pass, Western Cape",-32.624287,19.135719,P. scabrum_unkn,160,C_Chong
537,6,A08,MG21,"Middelberg Pass, Western Cape",-32.624347,19.135758,P. scabrum_unkn,160,C_Chong
538,6,B08,MG22_B,"Middelberg Pass, Western Cape",-32.624421,19.135826,P. scabrum_unkn,160,C_Chong
539,6,C08,MG23,"Middelberg Pass, Western Cape",-32.624371,19.13579,P. scabrum_unkn,160,C_Chong
540,6,D08,MG25,"Middelberg Pass, Western Cape",-32.624421,19.135826,P. scabrum_unkn,160,C_Chong
541,6,E08,MG27,"Middelberg Pass, Western Cape",-32.624437,19.135813,P. scabrum_unkn,160,C_Chong
542,6,F08,MG28,"Middelberg Pass, Western Cape",-32.624434,19.135812,P. scabrum_unkn,160,C_Chong
543,6,G08,MG30,"Middelberg Pass, Western Cape",-32.624434,19.135847,P. scabrum_unkn,160,C_Chong
544,6,H08,MG31,"Middelberg Pass, Western Cape",-32.624471,19.135848,P. scabrum_unkn,160,C_Chong
545,6,A09,MG33,"Middelberg Pass, Western Cape",-32.624485,19.135873,P. scabrum_unkn,160,C_Chong
