"in bold, sample names (""DNA_CODE"") that have been changed. Will need to highlight these and update kev on the DB.",,,,,,,,,
,,,,,,,,,
Sample no.,Plate,Well,DNA_CODE,Locality,LAT_SOUTH,LONG_EAST,confirmed_species,Site,Collector
59,1,C08,VR39,Van Rhynsdorp Pass,-31.3706,19.018097,P. scabrum,1001,C_Chong
60,1,D08,VR40,Van Rhynsdorp Pass,-31.370594,19.018023,P. scabrum,1001,C_Chong
61,1,E08,VR41,Van Rhynsdorp Pass,-31.370578,19.017976,P. scabrum,1001,C_Chong
62,1,F08,VR42,Van Rhynsdorp Pass,-31.370543,19.017953,P. scabrum,1001,C_Chong
63,1,G08,VR43,Van Rhynsdorp Pass,-31.370527,19.017879,P. scabrum,1001,C_Chong
64,1,H08,VR44,Van Rhynsdorp Pass,31.370553,19.017831,P. scabrum,1001,C_Chong
65,1,A09,VR45,Van Rhynsdorp Pass,-31.370553,19.017798,P. scabrum,1001,C_Chong
66,1,B09,VR46,Van Rhynsdorp Pass,31.370518,19.017742,P. scabrum,1001,C_Chong
67,1,C09,VR47,Van Rhynsdorp Pass,31.370522,19.017681,P. scabrum,1001,C_Chong
68,1,D09,VR48,Van Rhynsdorp Pass,-31.370509,19.01771,P. scabrum,1001,C_Chong
69,1,E09,VR49,Van Rhynsdorp Pass,-31.370508,19.017654,P. scabrum,1001,C_Chong
70,1,F09,VR50,Van Rhynsdorp Pass,-31.370518,19.017643,P. scabrum,1001,C_Chong
71,1,G09,VR51,Van Rhynsdorp Pass,31.370519,19.017568,P. scabrum,1001,C_Chong
72,1,H09,VR52,Van Rhynsdorp Pass,-31.370589,19.01752,P. scabrum,1001,C_Chong
73,1,A10,VR53,Van Rhynsdorp Pass,-31.370507,19.017473,P. scabrum,1001,C_Chong
74,1,B10,VR54,Van Rhynsdorp Pass,31.370514,19.017362,P. scabrum,1001,C_Chong
75,1,C10,VR55,Van Rhynsdorp Pass,31.370541,19.017261,P. scabrum,1001,C_Chong
76,1,D10,291_1,Cederberg NR: Nieuwoudt Pass,-32.34984,19.00684,P. scabrum,291,C_Chong
77,1,E10,291_2,Cederberg NR: Nieuwoudt Pass,-32.34984,19.00684,P. scabrum,291,C_Chong
78,1,F10,291_3,Cederberg NR: Nieuwoudt Pass,-32.34984,19.00684,P. scabrum,291,C_Chong
79,1,G10,291_4,Cederberg NR: Nieuwoudt Pass,-32.34984,19.00684,P. scabrum,291,C_Chong
80,1,H10,291_5,Cederberg NR: Nieuwoudt Pass,-32.34984,19.00684,P. scabrum,291,C_Chong
81,1,A11,291_6,Cederberg NR: Nieuwoudt Pass,-32.34984,19.00684,P. scabrum,291,C_Chong
82,1,B11,291_7,Cederberg NR: Nieuwoudt Pass,-32.34984,19.00684,P. scabrum,291,C_Chong
83,1,C11,291_8,Cederberg NR: Nieuwoudt Pass,-32.34984,19.00684,P. scabrum,291,C_Chong
84,1,D11,294_1,"Citrusdal, Elandskloof Rd",-32.62802,19.11664,P. scabrum,294,C_Chong
85,1,E11,294_2,"Citrusdal, Elandskloof Rd",-32.62802,19.11664,P. scabrum,294,C_Chong
86,1,F11,294_3,"Citrusdal, Elandskloof Rd",-32.62802,19.11664,P. scabrum,294,C_Chong
87,1,G11,294_4,"Citrusdal, Elandskloof Rd",-32.63256,19.11991,P. scabrum,294,C_Chong
88,1,H11,294_5,"Citrusdal, Elandskloof Rd",-32.63261,19.11999,P. scabrum,294,C_Chong
89,1,A12,294_6,"Citrusdal, Elandskloof Rd",-32.63276,19.11996,P. scabrum,294,C_Chong
90,1,B12,294_7,"Citrusdal, Elandskloof Rd",-32.633,19.12004,P. scabrum,294,C_Chong
91,1,C12,294_8,"Citrusdal, Elandskloof Rd",-32.63326,19.12019,P. scabrum,294,C_Chong
92,1,D12,297_1,Paarl Mt,-33.74117,18.94857,P. scabrum,297,C_Chong
93,1,E12,297_2,Paarl Mt,-33.74117,18.94857,P. scabrum,297,C_Chong
94,1,F12,297_3,Paarl Mt,-33.74117,18.94857,P. scabrum,297,C_Chong
