"plate.name","well","value"
"PeleGHPlate2","C11","MID_MB12_2"
"PeleGHPlate2","C12","MID_MB11_1"
"PeleGHPlate2","D01","UDP_UP38_5"
"PeleGHPlate2","D02","KB_K15_2"
"PeleGHPlate2","D03","UDP_UD13_9"
"PeleGHPlate2","D04","HB_HB41_3"
"PeleGHPlate2","D05","UDP_UD4_4"
"PeleGHPlate2","D06","EZE_EZ8_3"
"PeleGHPlate2","D07","HB_HB32_3"
"PeleGHPlate2","D08","ME_ME17_26"
"PeleGHPlate2","D09","KB_K13_6"
"PeleGHPlate2","D10","ME_MEP2_5"
"PeleGHPlate2","D11","ME_ME6_7"
"PeleGHPlate2","D12","EZE_EZ1_5"
"PeleGHPlate2","E01","UDP_UD13_5"
"PeleGHPlate2","E02","ME_ME2_3"
"PeleGHPlate2","E03","ME_ME17_30"
"PeleGHPlate2","E04","UDP_M13_3"
"PeleGHPlate2","E05","ME_ME8_2"
"PeleGHPlate2","E06","HB_HB49_5"
"PeleGHPlate2","E07","WOR_FG20_9"
"PeleGHPlate2","E08","UDP_UP38_23"
"PeleGHPlate2","E09","HB_HB11_6"
"PeleGHPlate2","E10","EZE_EZ11_2"
"PeleGHPlate2","E11","FG_fg2_5"
"PeleGHPlate2","E12","ME_ME6_12"
"PeleGHPlate2","F01","ME_ME6_5"
"PeleGHPlate2","F02","HB_HB46_3"
"PeleGHPlate2","F03","EZE_EZ4_5"
"PeleGHPlate2","F04","HB_HB16_3"
"PeleGHPlate2","F05","UDP_UP45_21"
"PeleGHPlate2","F06","EZE_EZ1_3"
"PeleGHPlate2","F07","KB_K19_8"
"PeleGHPlate2","F08","ME_ME6_22"
"PeleGHPlate2","F09","HB_HB11_10"
"PeleGHPlate2","F10","UDP_UP45_14"
"PeleGHPlate2","F11","UDP_UP45_23"
"PeleGHPlate2","F12","UDP_UD14_2"
"PeleGHPlate2","G01","WOR_FG20_2"
"PeleGHPlate2","G02","VR_VR27_7"
"PeleGHPlate2","G03","EZE_EZ1_1"
"PeleGHPlate2","G04","WOR_FG21_2"
"PeleGHPlate2","G05","EZE_EZ16_2"
"PeleGHPlate2","G06","ME_ME17_11"
"PeleGHPlate2","G07","MID_MB16_1"
"PeleGHPlate2","G08","VR_VR27_11"
"PeleGHPlate2","G09","HB_HB49_7"
"PeleGHPlate2","G10","PKHLEI_LG15_3"
"PeleGHPlate2","G11","ME_ME8_1"
"PeleGHPlate2","G12","KB_K19_6"
"PeleGHPlate2","H01","ME_ME9_4"
"PeleGHPlate2","H02","HB_HB41_11"
"PeleGHPlate2","H03","KB_K13_8"
"PeleGHPlate2","H04","ME_ME6_24"
"PeleGHPlate2","H05","NR_NR7_1"
"PeleGHPlate2","H06","HB_HB49_3"
"PeleGHPlate2","H07","VR_VR25_1"
"PeleGHPlate2","H08","ME_ME17_3"
"PeleGHPlate2","H09","HB_HB47_2"
"PeleGHPlate2","H10","KB_K6_1"
"PeleGHPlate2","H11","KB_K7_2"
"PeleGHPlate2","H12","VR_VR27_1"
"PeleGHPlate3","A01","UDP_M8_6"
"PeleGHPlate3","A02","HB_HB11_17"
"PeleGHPlate3","A03","SEW_SEWUSE3_1"
"PeleGHPlate3","A04","VR_VR31_2"
"PeleGHPlate3","A05","KB_K15_8"
"PeleGHPlate3","A06","EZE_EZ7_1"
"PeleGHPlate3","A07","UDP_M13_8"
"PeleGHPlate3","A08","UDP_M13_2"
"PeleGHPlate3","A09","UDP_UP39_5"
"PeleGHPlate3","A10","NR_NR6_2"
"PeleGHPlate3","A11","WOR_fg2_1"
"PeleGHPlate3","A12","HB_HB46_4"
"PeleGHPlate3","B01","ORW_ORW1_1"
"PeleGHPlate3","B02","UDP_M13_27"
"PeleGHPlate3","B03","UDP_M13_3"
"PeleGHPlate3","B04","KB_K15_1"
"PeleGHPlate3","B05","ME_ME2_7"
"PeleGHPlate3","B06","EZE_EZ5_5"
"PeleGHPlate3","B07","UDP_UD20_1"
"PeleGHPlate3","B08","UDP_UD13_7"
"PeleGHPlate3","B09","HB_HB47_1"
"PeleGHPlate3","B10","UDP_M13_1"
"PeleGHPlate3","B11","EZE_EZ16_3"
"PeleGHPlate3","B12","ME_ME6_8"
"PeleGHPlate3","C01","UDP_M1U_2"
"PeleGHPlate3","C02","KB_K100_2"
"PeleGHPlate3","C03","ME_ME6_31"
"PeleGHPlate3","C04","UDP_UP38_21"
"PeleGHPlate3","C05","HB_HB17_2"
"PeleGHPlate3","C06","UDP_M13_1"
"PeleGHPlate3","C07","ME_ME17_4"
"PeleGHPlate3","C08","HB_HB32_1"
"PeleGHPlate3","C09","FG_FG27_3"
"PeleGHPlate3","C10","MID_1607_1"
"PeleGHPlate3","C11","ORW_ORW1_2"
"PeleGHPlate3","C12","HB_HB49_4"
"PeleGHPlate3","D01","PKHLEI_LG15_1"
"PeleGHPlate3","D02","SEW_SEW6_3"
"PeleGHPlate3","D03","HB_HB46_1"
"PeleGHPlate3","D04","UDP_M5_2"
"PeleGHPlate3","D05","EZE_EZ5_1"
"PeleGHPlate3","D06","UDP_UP45_3"
"PeleGHPlate3","D07","EZE_EZ9_4"
"PeleGHPlate3","D08","EZE_EZ8_2"
"PeleGHPlate3","D09","UDP_UD13_4"
"PeleGHPlate3","D10","UDP_M13_4"
"PeleGHPlate3","D11","ME_ME6_26"
"PeleGHPlate3","D12","VR_VR27_8"
"PeleGHPlate3","E01","ME_ME8_24"
"PeleGHPlate3","E02","VR_VR27_5"
"PeleGHPlate3","E03","EZE_EZ2_3"
"PeleGHPlate3","E04","EZE_EZ4_3"
"PeleGHPlate3","E05","UDP_UD10_3"
